cell_type,f1,precision,recall,support
AT2 proliferating,0.8136645962732919,0.7043010752688172,0.9632352941176471,136.0
Adventitial fibroblasts,0.8098434004474273,0.7407912687585266,0.8930921052631579,608.0
Alveolar fibroblasts,0.7067137809187279,0.7978723404255319,0.6342494714587738,473.0
Alveolar macrophages,0.8067996077149395,0.7607891491985204,0.8587334725121781,1437.0
B cells,0.8411214953271028,0.7978723404255319,0.8893280632411067,253.0
Basal resting,0.8089219330855019,0.7661971830985915,0.8566929133858268,635.0
CD4 T cells,0.7961165048543689,0.7202702702702702,0.8898163606010017,599.0
CD8 T cells,0.7714437932871604,0.836027713625866,0.7161226508407518,1011.0
Classical monocytes,0.8276195074843071,0.8418467583497053,0.8138651471984806,1053.0
Club,0.6769706336939721,0.6908517350157729,0.6636363636363637,990.0
DC2,0.7940513744930149,0.7762114537444934,0.8127306273062731,1084.0
Deuterosomal,0.6327272727272727,0.7280334728033473,0.5594855305466238,311.0
EC aerocyte capillary,0.8605577689243028,0.9101123595505618,0.8161209068010076,397.0
EC general capillary,0.7615720524017467,0.7364864864864865,0.7884267631103075,553.0
EC venous pulmonary,0.813717848791894,0.8474025974025974,0.782608695652174,667.0
EC venous systemic,0.7229676400947119,0.693939393939394,0.7545304777594728,607.0
Goblet,0.6945080091533181,0.7058139534883721,0.6835585585585585,888.0
Hillock-like,0.6926229508196722,0.845,0.5868055555555556,288.0
Interstitial macrophages,0.4779375309866138,0.49948186528497407,0.45817490494296575,1052.0
Ionocyte,0.5126582278481012,0.6,0.44751381215469616,181.0
Multiciliated,0.9483333333333334,0.9384277075316108,0.9584503088152723,1781.0
NK cells,0.8103448275862069,0.8227571115973742,0.7983014861995754,471.0
Non-classical monocytes,0.5701881331403763,0.6204724409448819,0.5274431057563588,747.0
Peribronchial fibroblasts,0.4158415841584158,0.4827586206896552,0.3652173913043478,230.0
Pericytes,0.8167539267015707,0.7839195979899497,0.8524590163934426,183.0
Plasma cells,0.7116564417177914,0.6823529411764706,0.7435897435897436,312.0
SMG duct,0.7821522309711286,0.7801047120418848,0.7842105263157895,190.0
SMG mucous,0.8961038961038961,0.8734177215189873,0.92,75.0
SMG serous,0.8387096774193549,0.7558139534883721,0.9420289855072463,69.0
Suprabasal,0.6534372785258682,0.6138482023968043,0.6984848484848485,660.0
Transitional Club-AT2,0.8359469240048251,0.8523985239852399,0.8201183431952662,845.0
