cell_type,f1,precision,recall,support,fold
B cell,0.75,0.75,0.75,4.0,4
"CD14-low, CD16-positive monocyte",1.0,1.0,1.0,2.0,4
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,0.0,4
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,4
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,3.0,4
"ILC1, human",0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,4
IgA plasma cell,1.0,1.0,1.0,2.0,4
IgG plasma cell,0.0,0.0,0.0,0.0,4
IgM plasma cell,0.0,0.0,0.0,2.0,4
T follicular helper cell,0.9090909090909091,0.9259259259259259,0.8928571428571429,28.0,4
T-helper 1 cell,1.0,1.0,1.0,1.0,4
T-helper 2 cell,0.0,0.0,0.0,1.0,4
class switched memory B cell,0.8,0.7142857142857143,0.9090909090909091,11.0,4
dendritic cell,0.6666666666666666,0.5,1.0,1.0,4
"dendritic cell, human",0.7441860465116279,0.7272727272727273,0.7619047619047619,21.0,4
"effector memory CD4-positive, alpha-beta T cell",0.75,0.75,0.75,4.0,4
erythrocyte,1.0,1.0,1.0,6.0,4
"erythroid progenitor cell, mammalian",1.0,1.0,1.0,4.0,4
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0,4
immature B cell,0.9473684210526316,0.9,1.0,9.0,4
myeloid dendritic cell,0.6666666666666667,0.6875,0.6470588235294118,17.0,4
natural killer cell,0.6666666666666666,0.5,1.0,3.0,4
plasmablast,0.0,0.0,0.0,0.0,4
plasmacytoid dendritic cell,0.9333333333333333,1.0,0.875,8.0,4
platelet,0.9302325581395349,0.8695652173913043,1.0,20.0,4
regulatory T cell,0.0,0.0,0.0,0.0,4
unswitched memory B cell,0.6,0.75,0.5,6.0,4
