cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9883913764510779,0.9933333333333333,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8627450980392156,0.88,0.8461538461538461,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8441558441558442,0.8986175115207373,0.7959183673469388,245.0,2
T-helper 22 cell,0.4890282131661442,0.36792452830188677,0.7289719626168224,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6957708049113233,0.8069620253164557,0.6115107913669064,417.0,2
"effector CD8-positive, alpha-beta T cell",0.6516853932584269,0.6041666666666666,0.7073170731707317,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.5818181818181818,0.64,0.5333333333333333,120.0,2
gamma-delta T cell,0.1276595744680851,0.09574468085106383,0.19148936170212766,47.0,2
mature NK T cell,0.8780487804878048,0.8674698795180723,0.8888888888888888,81.0,2
mucosal invariant T cell,0.448,0.5957446808510638,0.358974358974359,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7609561752988049,0.7022058823529411,0.8304347826086956,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6013986013986014,0.6771653543307087,0.5408805031446541,159.0,2
