cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.995,0.9900497512437811,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.9125,0.9358974358974359,0.8902439024390244,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9707446808510638,0.9707446808510638,0.9707446808510638,376.0,3
T-helper 22 cell,0.6279069767441859,0.6044776119402985,0.6532258064516129,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.6058823529411764,0.5885714285714285,0.6242424242424243,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8847926267281105,0.8533333333333334,0.9186602870813397,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.7336683417085427,0.7684210526315789,0.7019230769230769,104.0,3
gamma-delta T cell,0.5226130653266331,0.5777777777777777,0.47706422018348627,109.0,3
mature NK T cell,0.8222222222222223,0.9367088607594937,0.7326732673267327,101.0,3
mucosal invariant T cell,0.6303030303030304,0.611764705882353,0.65,80.0,3
naive B cell,1.0,1.0,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8308823529411764,0.8129496402877698,0.849624060150376,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7303754266211604,0.7482517482517482,0.7133333333333334,150.0,3
