cell_type,f1,precision,recall,support
AT2 proliferating,0.9645390070921985,0.9315068493150684,1.0,136.0
Adventitial fibroblasts,0.9109863672814755,0.8888888888888888,0.9342105263157895,608.0
Alveolar fibroblasts,0.9258098223615465,0.9152892561983471,0.9365750528541226,473.0
Alveolar macrophages,0.8983106989069228,0.8571428571428571,0.9436325678496869,1437.0
B cells,0.984251968503937,0.9803921568627451,0.9881422924901185,253.0
Basal resting,0.8571428571428571,0.8281938325991189,0.8881889763779528,635.0
CD4 T cells,0.8686371100164204,0.8546042003231018,0.8831385642737897,599.0
CD8 T cells,0.8673366834170855,0.881511746680286,0.8536102868447082,1011.0
Classical monocytes,0.848,0.8404850746268657,0.855650522317189,1053.0
Club,0.7337038908539667,0.7340748230535895,0.7333333333333333,990.0
DC2,0.8728270814272644,0.8656987295825771,0.8800738007380073,1084.0
Deuterosomal,0.9380234505862647,0.9790209790209791,0.9003215434083601,311.0
EC aerocyte capillary,0.8815426997245179,0.9726443768996961,0.8060453400503779,397.0
EC general capillary,0.8405560098119379,0.7671641791044777,0.9294755877034359,553.0
EC venous pulmonary,0.8925869894099848,0.9007633587786259,0.8845577211394303,667.0
EC venous systemic,0.8823529411764706,0.9005145797598628,0.8649093904448105,607.0
Goblet,0.7455279861511829,0.7644970414201183,0.7274774774774775,888.0
Hillock-like,0.8778877887788779,0.8364779874213837,0.9236111111111112,288.0
Interstitial macrophages,0.6945736434108527,0.7610419026047565,0.6387832699619772,1052.0
Ionocyte,0.9746478873239437,0.9942528735632183,0.9558011049723757,181.0
Multiciliated,0.9739900387382402,0.9601745771958538,0.9882088714205502,1781.0
NK cells,0.9135538954108858,0.9184549356223176,0.9087048832271762,471.0
Non-classical monocytes,0.8059499661933739,0.8142076502732241,0.7978580990629184,747.0
Peribronchial fibroblasts,0.8571428571428571,0.9289340101522843,0.7956521739130434,230.0
Pericytes,0.975609756097561,0.967741935483871,0.9836065573770492,183.0
Plasma cells,0.9919484702093397,0.9967637540453075,0.9871794871794872,312.0
SMG duct,0.8708860759493671,0.8390243902439024,0.9052631578947369,190.0
SMG mucous,0.9798657718120806,0.9864864864864865,0.9733333333333334,75.0
SMG serous,0.9552238805970149,0.9846153846153847,0.927536231884058,69.0
Suprabasal,0.7489711934156379,0.8198198198198198,0.6893939393939394,660.0
Transitional Club-AT2,0.9080325960419092,0.8934707903780069,0.9230769230769231,845.0
