cell_type,f1,precision,recall,support,fold
"CD16-negative, CD56-bright natural killer cell, human",0.875,0.8974358974358975,0.8536585365853658,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9419354838709677,0.9147869674185464,0.9707446808510638,376.0,3
"CD34-positive, CD38-negative hematopoietic stem cell",0.8,1.0,0.6666666666666666,6.0,3
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,1.0,3
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,0.0,3
"ILC1, human",0.0,0.0,0.0,4.0,3
IgA plasma cell,1.0,1.0,1.0,2.0,3
IgG plasma cell,0.0,0.0,0.0,2.0,3
IgM plasma cell,0.0,0.0,0.0,0.0,3
T follicular helper cell,0.07272727272727272,0.25,0.0425531914893617,47.0,3
T-helper 1 cell,0.0,0.0,0.0,0.0,3
T-helper 2 cell,0.0,0.0,0.0,0.0,3
T-helper 22 cell,0.6738351254480287,0.6064516129032258,0.7580645161290323,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.5339805825242718,0.44534412955465585,0.6666666666666666,165.0,3
class switched memory B cell,0.47058823529411764,0.5,0.4444444444444444,18.0,3
dendritic cell,0.5,1.0,0.3333333333333333,3.0,3
"dendritic cell, human",0.608695652173913,0.5384615384615384,0.7,20.0,3
"effector CD8-positive, alpha-beta T cell",0.8660714285714285,0.8117154811715481,0.9282296650717703,209.0,3
"effector memory CD4-positive, alpha-beta T cell",0.16666666666666666,0.25,0.125,8.0,3
"effector memory CD8-positive, alpha-beta T cell",0.6756756756756757,0.635593220338983,0.7211538461538461,104.0,3
erythrocyte,0.8695652173913043,0.8333333333333334,0.9090909090909091,11.0,3
"erythroid progenitor cell, mammalian",0.8,0.6666666666666666,1.0,2.0,3
gamma-delta T cell,0.4390243902439025,0.6545454545454545,0.3302752293577982,109.0,3
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0,3
immature B cell,0.26666666666666666,0.5,0.18181818181818182,11.0,3
mature NK T cell,0.7976878612716762,0.9583333333333334,0.6831683168316832,101.0,3
