cell_type,f1,precision,recall,support,fold
B cell,0.8,1.0,0.6666666666666666,3.0,1
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,1.0,1
CD14-positive monocyte,0.9791666666666666,0.975103734439834,0.9832635983263598,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8363636363636363,0.8846153846153846,0.7931034482758621,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9529529529529529,0.9444444444444444,0.9616161616161616,495.0,1
"CD34-positive, CD38-negative hematopoietic stem cell",0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,1
"CD4-positive, alpha-beta T cell",0.6666666666666666,1.0,0.5,2.0,1
"CD8-positive, alpha-beta T cell",0.5,1.0,0.3333333333333333,3.0,1
"ILC1, human",0.0,0.0,0.0,3.0,1
IgA plasma cell,0.7499999999999999,1.0,0.6,5.0,1
IgG plasma cell,0.0,0.0,0.0,0.0,1
IgM plasma cell,0.0,0.0,0.0,2.0,1
T follicular helper cell,0.0625,0.2,0.037037037037037035,27.0,1
T-helper 1 cell,0.0,0.0,0.0,1.0,1
T-helper 2 cell,0.0,0.0,0.0,1.0,1
T-helper 22 cell,0.5485714285714286,0.44036697247706424,0.7272727272727273,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.5928571428571427,0.5286624203821656,0.6747967479674797,123.0,1
class switched memory B cell,0.775,0.8611111111111112,0.7045454545454546,44.0,1
dendritic cell,0.5714285714285715,0.6666666666666666,0.5,4.0,1
"dendritic cell, human",0.7234042553191491,0.68,0.7727272727272727,22.0,1
"effector CD8-positive, alpha-beta T cell",0.75,0.6961325966850829,0.8129032258064516,155.0,1
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,8.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7537091988130564,0.8141025641025641,0.7016574585635359,181.0,1
erythrocyte,1.0,1.0,1.0,1.0,1
"erythroid progenitor cell, mammalian",0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,1
gamma-delta T cell,0.36601307189542487,0.3888888888888889,0.345679012345679,81.0,1
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,0.0,1
immature B cell,0.48484848484848486,0.8,0.34782608695652173,23.0,1
mature NK T cell,0.8225108225108226,0.8636363636363636,0.7851239669421488,121.0,1
mucosal invariant T cell,0.6615384615384615,0.7166666666666667,0.6142857142857143,70.0,1
myeloid dendritic cell,0.8076923076923077,0.875,0.75,28.0,1
naive B cell,0.8715083798882682,0.8041237113402062,0.9512195121951219,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8260869565217391,0.7977099236641222,0.8565573770491803,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7241379310344828,0.7894736842105263,0.6687898089171974,157.0,1
natural killer cell,0.33333333333333337,1.0,0.2,5.0,1
plasmablast,0.0,0.0,0.0,3.0,1
plasmacytoid dendritic cell,1.0,1.0,1.0,22.0,1
platelet,0.9811320754716981,0.9629629629629629,1.0,26.0,1
regulatory T cell,0.0,0.0,0.0,3.0,1
unswitched memory B cell,0.4,0.5,0.3333333333333333,6.0,1
