cell_type,f1,precision,recall,support,fold
B cell,0.4,1.0,0.25,4.0,4
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,2.0,4
CD14-positive monocyte,0.9712460063897763,0.9806451612903225,0.9620253164556962,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9225092250922509,0.8992805755395683,0.946969696969697,264.0,4
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,0.0,4
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,4
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,3.0,4
"ILC1, human",0.0,0.0,0.0,7.0,4
IgA plasma cell,1.0,1.0,1.0,2.0,4
IgG plasma cell,0.0,0.0,0.0,0.0,4
IgM plasma cell,0.0,0.0,0.0,2.0,4
T follicular helper cell,0.1142857142857143,0.2857142857142857,0.07142857142857142,28.0,4
T-helper 1 cell,0.0,0.0,0.0,1.0,4
T-helper 2 cell,0.0,0.0,0.0,1.0,4
T-helper 22 cell,0.5571030640668524,0.6410256410256411,0.49261083743842365,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.4622222222222222,0.37681159420289856,0.5977011494252874,174.0,4
class switched memory B cell,0.5,0.5555555555555556,0.45454545454545453,11.0,4
dendritic cell,0.6666666666666666,0.5,1.0,1.0,4
"dendritic cell, human",0.6341463414634146,0.65,0.6190476190476191,21.0,4
"effector CD8-positive, alpha-beta T cell",0.8015873015873016,0.7481481481481481,0.8632478632478633,117.0,4
"effector memory CD4-positive, alpha-beta T cell",0.28571428571428575,0.3333333333333333,0.25,4.0,4
"effector memory CD8-positive, alpha-beta T cell",0.7692307692307694,0.7633587786259542,0.7751937984496124,129.0,4
erythrocyte,0.923076923076923,0.8571428571428571,1.0,6.0,4
"erythroid progenitor cell, mammalian",0.6666666666666666,1.0,0.5,4.0,4
gamma-delta T cell,0.21153846153846156,0.36666666666666664,0.14864864864864866,74.0,4
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0,4
immature B cell,0.0,0.0,0.0,9.0,4
mature NK T cell,0.8322147651006712,0.9253731343283582,0.7560975609756098,82.0,4
mucosal invariant T cell,0.7049180327868854,0.6935483870967742,0.7166666666666667,60.0,4
myeloid dendritic cell,0.6857142857142857,0.6666666666666666,0.7058823529411765,17.0,4
naive B cell,0.8142857142857143,0.7125,0.95,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.823529411764706,0.7872340425531915,0.8633333333333333,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6058631921824105,0.6642857142857143,0.5568862275449101,167.0,4
natural killer cell,0.5,1.0,0.3333333333333333,3.0,4
plasmablast,0.0,0.0,0.0,0.0,4
plasmacytoid dendritic cell,0.9333333333333333,1.0,0.875,8.0,4
platelet,0.8260869565217392,0.7307692307692307,0.95,20.0,4
regulatory T cell,0.0,0.0,0.0,0.0,4
unswitched memory B cell,0.0,0.0,0.0,6.0,4
